company_id,market_id,symbol,name,sector_name,sub_industry,date_added,headquarters,cik,founded
1,1,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,SD,SD,00/00/0000,SD,SD,9999
2,1,AACBR,Artius II Acquisition Inc. - Rights,SD,SD,00/00/0000,SD,SD,9999
3,1,AACBU,Artius II Acquisition Inc. - Units,SD,SD,00/00/0000,SD,SD,9999
4,1,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",SD,SD,00/00/0000,SD,SD,9999
5,1,AACI,Armada Acquisition Corp. II - Class A Ordinary Shares,SD,SD,00/00/0000,SD,SD,9999
6,1,AACIU,Armada Acquisition Corp. II - Units,SD,SD,00/00/0000,SD,SD,9999
7,1,AACIW,Armada Acquisition Corp. II - Warrant,SD,SD,00/00/0000,SD,SD,9999
8,1,AADR,AdvisorShares Dorsey Wright ADR ETF,SD,SD,00/00/0000,SD,SD,9999
9,1,AAL,"American Airlines Group, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
10,1,AALG,Leverage Shares 2X Long AAL Daily ETF,SD,SD,00/00/0000,SD,SD,9999
11,1,AAME,Atlantic American Corporation - Common Stock,SD,SD,00/00/0000,SD,SD,9999
12,1,AAOI,"Applied Optoelectronics, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
13,1,AAON,"AAON, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
14,1,AAPB,GraniteShares 2x Long AAPL Daily ETF,SD,SD,00/00/0000,SD,SD,9999
15,1,AAPD,Direxion Daily AAPL Bear 1X Shares,SD,SD,00/00/0000,SD,SD,9999
16,1,AAPG,Ascentage Pharma Group International - American Depository Shares,SD,SD,00/00/0000,SD,SD,9999
17,1,AAPL,Apple Inc. - Common Stock,SD,SD,00/00/0000,SD,SD,9999
18,1,AAPU,Direxion Daily AAPL Bull 2X Shares,SD,SD,00/00/0000,SD,SD,9999
19,1,AARD,"Aardvark Therapeutics, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
20,1,AAUS,Alpha Architect US Equity ETF,SD,SD,00/00/0000,SD,SD,9999
21,1,AAVM,Alpha Architect Global Factor Equity ETF,SD,SD,00/00/0000,SD,SD,9999
22,1,AAXJ,iShares MSCI All Country Asia ex Japan ETF,SD,SD,00/00/0000,SD,SD,9999
23,1,ABAT,American Battery Technology Company - Common Stock,SD,SD,00/00/0000,SD,SD,9999
24,1,ABCL,AbCellera Biologics Inc. - Common Shares,SD,SD,00/00/0000,SD,SD,9999
25,1,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,SD,SD,00/00/0000,SD,SD,9999
26,1,ABEO,Abeona Therapeutics Inc. - Common Stock,SD,SD,00/00/0000,SD,SD,9999
27,1,ABI,VictoryShares Pioneer Asset-Based Income ETF,SD,SD,00/00/0000,SD,SD,9999
28,1,ABIG,Argent Large Cap ETF,SD,SD,00/00/0000,SD,SD,9999
29,1,ABL,"Abacus Global Management, Inc. - Class A Common Stock",SD,SD,00/00/0000,SD,SD,9999
30,1,ABLLL,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028",SD,SD,00/00/0000,SD,SD,9999
31,1,ABLV,Able View Global Inc. - Class B Ordinary Shares,SD,SD,00/00/0000,SD,SD,9999
32,1,ABLVW,Able View Global Inc. - Warrant,SD,SD,00/00/0000,SD,SD,9999
33,1,ABNB,"Airbnb, Inc. - Class A Common Stock",SD,SD,00/00/0000,SD,SD,9999
34,1,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
35,1,ABP,"Abpro Holdings, Inc - Common Stock",SD,SD,00/00/0000,SD,SD,9999
36,1,ABPWW,"Abpro Holdings, Inc - Warrant",SD,SD,00/00/0000,SD,SD,9999
37,1,ABSI,Absci Corporation - Common Stock,SD,SD,00/00/0000,SD,SD,9999
38,1,ABTC,American Bitcoin Corp. - Class A Common Stock,SD,SD,00/00/0000,SD,SD,9999
39,1,ABTS,Abits Group Inc - Ordinary Shares,SD,SD,00/00/0000,SD,SD,9999
40,1,ABUS,Arbutus Biopharma Corporation - Common Stock,SD,SD,00/00/0000,SD,SD,9999
41,1,ABVC,"ABVC BioPharma, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
42,1,ABVE,Above Food Ingredients Inc. - Common Stock,SD,SD,00/00/0000,SD,SD,9999
43,1,ABVEW,Above Food Ingredients Inc. - Warrant,SD,SD,00/00/0000,SD,SD,9999
44,1,ABVX,Abivax SA - American Depositary Shares,SD,SD,00/00/0000,SD,SD,9999
45,1,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,SD,SD,00/00/0000,SD,SD,9999
46,1,ACB,Aurora Cannabis Inc. - Common Shares,SD,SD,00/00/0000,SD,SD,9999
47,1,ACCL,Acco Group Holdings Limited - Ordinary Shares,SD,SD,00/00/0000,SD,SD,9999
48,1,ACDC,ProFrac Holding Corp. - Class A Common Stock,SD,SD,00/00/0000,SD,SD,9999
49,1,ACET,"Adicet Bio, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
50,1,ACFN,"Acorn Energy, Inc. - Common Stock",SD,SD,00/00/0000,SD,SD,9999
